,Target,Predicted,Sample,Open,Close,DVT_STD,Buy_and_Hold,Close_Portfolio,Signal,Position,Portfolio_Value
2010-06-29,0,0,Train,5333.5498046875,5256.14990234375,121.64567671641822,100.0,5256.14990234375,0,0.0,100.0
2010-06-30,0,0,Train,5254.25,5312.5,117.31959048991204,101.07207934901406,5312.5,0,0.0,100.0
2010-07-01,0,0,Train,5312.0498046875,5251.39990234375,115.4319604003677,99.90962967022912,5251.39990234375,0,0.0,100.0
2010-07-02,1,1,Train,5251.25,5237.10009765625,114.01803750393904,99.63757113017257,5237.10009765625,1,1.0,100.0
2010-07-05,1,1,Train,5237.0,5235.89990234375,105.37000168674562,99.61473701518729,5235.89990234375,1,1.0,99.97708282656203
2010-07-06,1,1,Train,5236.10009765625,5289.0498046875,89.24319020785727,100.62593158404938,5289.0498046875,1,1.0,100.99195558730105
2010-07-07,1,1,Train,5293.10009765625,5241.10009765625,68.38936488016354,99.71367246050595,5241.10009765625,1,1.0,100.07637814678758
2010-07-08,1,1,Train,5242.0,5296.85009765625,54.53317663724573,100.77433475202737,5296.85009765625,1,1.0,101.14089856763937
2010-07-09,1,1,Train,5297.2001953125,5352.4501953125,45.38650238907594,101.83214510160393,5352.4501953125,1,1.0,102.20255667268748
2010-07-12,0,0,Train,5352.25,5383.0,46.81293301412055,102.4133652961398,5383.0,0,0.0,102.78589103937585
2010-07-13,0,0,Train,5370.2001953125,5400.64990234375,50.44148909964738,102.74916055829317,5400.64990234375,0,0.0,102.78589103937585
2010-07-14,0,0,Train,5402.0,5386.14990234375,51.821645885012366,102.47329323583469,5386.14990234375,0,0.0,102.78589103937585
2010-07-15,1,0,Train,5387.10009765625,5378.75,53.8306643747717,102.3325076326606,5378.75,0,0.0,102.78589103937585
2010-07-16,0,0,Train,5376.64990234375,5393.89990234375,55.7202429533225,102.6207395633556,5393.89990234375,0,0.0,102.78589103937585
2010-07-19,1,0,Train,5392.7001953125,5386.4501953125,57.34033997049066,102.47900640943762,5386.4501953125,0,0.0,102.78589103937585
2010-07-20,1,0,Train,5387.0,5368.0,58.406044276966846,102.12798530738965,5368.0,0,0.0,102.78589103937585
2010-07-21,0,0,Train,5368.85009765625,5399.35009765625,60.996382422654,102.7244313418201,5399.35009765625,0,0.0,102.78589103937585
2010-07-22,0,0,Train,5399.14990234375,5441.9501953125,66.37636159827015,103.53491236781318,5441.9501953125,0,0.0,102.78589103937585
